class_name,name_cn,calorie_per_100g,default_weight_g,category,note
dumplings,饺子,200,200,主食,按常见猪肉或蔬菜饺子估算
fried_rice,炒饭,188,300,主食,油量和配料会明显影响热量
hot_and_sour_soup,酸辣汤,39,300,汤品,按常见酸辣汤估算
spring_rolls,春卷,250,120,小吃,油炸春卷热量较高
peking_duck,北京烤鸭,337,180,肉类,按带皮烤鸭估算
gyoza,煎饺,230,180,主食,煎制用油会提高热量
chicken_wings,鸡翅,254,180,肉类,按烤或炸鸡翅估算
fried_calamari,炸鱿鱼,175,160,小吃,裹粉和油炸会提高热量
french_fries,薯条,312,120,快餐,油炸食品热量较高
hamburger,汉堡,295,180,快餐,不同品牌和配料会有差异
pizza,披萨,266,150,快餐,示例热量按常见披萨估算
hot_dog,热狗,290,150,快餐,按面包加香肠组合估算
ice_cream,冰淇淋,207,100,甜点,热量因奶油和糖分差异较大
donuts,甜甜圈,452,80,甜点,油炸甜点热量较高
cup_cakes,杯子蛋糕,305,80,甜点,糖霜会提高热量
chocolate_cake,巧克力蛋糕,371,100,甜点,甜点热量较高
cheesecake,芝士蛋糕,321,100,甜点,甜点热量较高
apple_pie,苹果派,237,120,甜点,按常见苹果派估算
ramen,拉面,436,500,主食,按一碗拉面估算
sushi,寿司,150,180,主食,按常见寿司组合估算
bibimbap,拌饭,150,450,主食,按一碗韩式拌饭估算
takoyaki,章鱼烧,210,160,小吃,酱料和蛋黄酱会提高热量
omelette,煎蛋卷,154,150,蛋类,按普通煎蛋卷估算
steak,牛排,271,200,肉类,部位和烹调用油会影响热量
grilled_salmon,烤三文鱼,206,180,肉类,按常见烤三文鱼估算
